node_time,modem_time,cv7_time,navigator_time,gps_time,nav_state_time
1750109962.7341378,,1750046605.7327993,1750045508.8123496,,
1750109962.7373295,,1750046605.7327993,1750045508.8123496,,
1750109962.7469766,,1750046605.745733,1750045508.8255389,,
1750109962.7501848,,1750046605.745733,1750045508.8255389,,
1750109962.761417,,1750046605.7586286,1750045508.8392208,,
1750109962.764182,,1750046605.7586286,1750045508.8392208,,
1750109962.7740815,,1750046605.7714863,1750045508.8524175,,
1750109962.7771075,,1750046605.7714863,1750045508.8524175,,
1750109962.786433,,1750046605.7843802,1750045508.8653867,,
1750109962.7890394,,1750046605.7843802,1750045508.8653867,,
1750109962.799357,,1750046605.7972677,1750045508.8786464,,
1750109962.8019342,,1750046605.7972677,1750045508.8786464,,
1750109962.813107,,1750046605.8101895,1750045508.8916755,,
1750109962.8155928,,1750046605.8101895,1750045508.8916755,,
1750109962.825167,,1750046605.8230865,1750045508.9047081,,
1750109962.8288064,,1750046605.8230865,1750045508.9047081,,
1750109962.8371193,,1750046605.836042,1750045508.9047081,,
1750109962.841184,,1750046605.836042,1750045508.9182541,,
1750109962.8500247,,1750046605.8490684,1750045508.9182541,,
1750109962.8546703,,1750046605.8490684,1750045508.9312537,,
1750109962.8634748,,1750046605.8619506,1750045508.9312537,,
1750109962.8682888,,1750046605.8619506,1750045508.9450076,,
1750109962.8765273,,1750046605.8749127,1750045508.9450076,,
1750109962.8812838,,1750046605.8749127,1750045508.9579353,,
1750109962.8901536,,1750046605.8891122,1750045508.9579353,,
1750109962.8941991,,1750046605.8891122,1750045508.9709437,,
1750109962.903022,,1750046605.9019516,1750045508.9709437,,
1750109962.9074883,,1750046605.9019516,1750045508.9839897,,
1750109962.9160683,,1750046605.9148805,1750045508.9839897,,
1750109962.9208736,,1750046605.9148805,1750045508.9970171,,
1750109962.9298487,,1750046605.9278088,1750045508.9970171,,
1750109962.933533,,1750046605.9278088,1750045509.0101526,,
1750109962.9420457,,1750046605.9406738,1750045509.0101526,,
1750109962.9461074,,1750046605.9406738,1750045509.023156,,
1750109962.9555507,,1750046605.953573,1750045509.023156,,
1750109962.9592936,,1750046605.953573,1750045509.0361297,,
1750109962.9678843,,1750046605.9665127,1750045509.0361297,,
1750109962.9726763,,1750046605.9665127,1750045509.0491045,,
1750109962.980861,,1750046605.9793382,1750045509.0491045,,
1750109962.9851918,,1750046605.9793382,1750045509.0621834,,
1750109962.9936144,,1750046605.9925416,1750045509.0621834,,
1750109962.9983063,,1750046605.9925416,1750045509.0752673,,
1750109963.0071511,,1750046606.0054226,1750045509.0752673,,
1750109963.0116515,,1750046606.0054226,1750045509.0884275,,
1750109963.0199463,,1750046606.0183828,1750045509.0884275,,
1750109963.0251112,,1750046606.0183828,1750045509.1013477,,
1750109963.0323863,,1750046606.0312848,1750045509.1013477,,
1750109963.037616,,1750046606.0312848,1750045509.1145484,,
1750109963.0454206,,1750046606.0442915,1750045509.1145484,,
1750109963.0516746,,1750046606.0442915,1750045509.1278167,,
1750109963.059079,,1750046606.0571406,1750045509.1278167,,
1750109963.0646977,,1750046606.0571406,1750045509.1410701,,
1750109963.071402,,1750046606.0700777,1750045509.1410701,,
1750109963.0771728,,1750046606.0700777,1750045509.1540833,,
1750109963.0838933,,1750046606.082928,1750045509.1540833,,
1750109963.0903227,,1750046606.082928,1750045509.1671333,,
1750109963.0973587,,1750046606.0959873,1750045509.1671333,,
1750109963.1034353,,1750046606.0959873,1750045509.1801023,,
1750109963.1106296,,1750046606.1089084,1750045509.1801023,,
1750109963.1167393,,1750046606.1089084,1750045509.193158,,
1750109963.1240342,,1750046606.1218834,1750045509.193158,,
1750109963.129103,,1750046606.1218834,1750045509.2061567,,
